zip,city,state
501,Holtsville,NY
544,Holtsville,NY
601,Adjuntas,PR
602,Aguada,PR
603,Aguadilla,PR
604,Aguadilla,PR
605,Aguadilla,PR
606,Maricao,PR
610,Anasco,PR
611,Angeles,PR
612,Arecibo,PR
613,Arecibo,PR
614,Arecibo,PR
616,Bajadero,PR
617,Barceloneta,PR
622,Boqueron,PR
623,Cabo Rojo,PR
624,Penuelas,PR
627,Camuy,PR
631,Castaner,PR
636,Rosario,PR
637,Sabana Grande,PR
638,Ciales,PR
641,Utuado,PR
646,Dorado,PR
647,Ensenada,PR
650,Florida,PR
652,Garrochales,PR
653,Guanica,PR
656,Guayanilla,PR
659,Hatillo,PR
660,Hormigueros,PR
662,Isabela,PR
664,Jayuya,PR
667,Lajas,PR
669,Lares,PR
670,Las Marias,PR
674,Manati,PR
676,Moca,PR
677,Rincon,PR
678,Quebradillas,PR
680,Mayaguez,PR
681,Mayaguez,PR
682,Mayaguez,PR
683,San German,PR
685,San Sebastian,PR
687,Morovis,PR
688,Sabana Hoyos,PR
690,San Antonio,PR
692,Vega Alta,PR
693,Vega Baja,PR
694,Vega Baja,PR
698,Yauco,PR
703,Aguas Buenas,PR
704,Aguirre,PR
705,Aibonito,PR
707,Maunabo,PR
714,Arroyo,PR
715,Mercedita,PR
716,Ponce,PR
717,Ponce,PR
718,Naguabo,PR
719,Naranjito,PR
720,Orocovis,PR
721,Palmer,PR
723,Patillas,PR
725,Caguas,PR
726,Caguas,PR
727,Caguas,PR
728,Ponce,PR
729,Canovanas,PR
730,Ponce,PR
731,Ponce,PR
732,Ponce,PR
733,Ponce,PR
734,Ponce,PR
735,Ceiba,PR
736,Cayey,PR
737,Cayey,PR
738,Fajardo,PR
739,Cidra,PR
740,Puerto Real,PR
741,Punta Santiago,PR
742,Roosevelt Roads,PR
744,Rio Blanco,PR
745,Rio Grande,PR
751,Salinas,PR
754,San Lorenzo,PR
757,Santa Isabel,PR
765,Vieques,PR
766,Villalba,PR
767,Yabucoa,PR
769,Coamo,PR
771,Las Piedras,PR
772,Loiza,PR
773,Luquillo,PR
775,Culebra,PR
777,Juncos,PR
778,Gurabo,PR
780,Coto Laurel,PR
782,Comerio,PR
783,Corozal,PR
784,Guayama,PR
785,Guayama,PR
786,La Plata,PR
791,Humacao,PR
792,Humacao,PR
794,Barranquitas,PR
795,Juana Diaz,PR
801,St Thomas,VI
802,St Thomas,VI
803,St Thomas,VI
804,St Thomas,VI
805,St Thomas,VI
820,Christiansted,VI
821,Christiansted,VI
822,Christiansted,VI
823,Christiansted,VI
824,Christiansted,VI
830,St John,VI
831,St John,VI
840,Frederiksted,VI
841,Frederiksted,VI
850,Kingshill,VI
851,Kingshill,VI
901,San Juan,PR
902,San Juan,PR
906,San Juan,PR
907,San Juan,PR
908,San Juan,PR
909,San Juan,PR
910,San Juan,PR
911,San Juan,PR
912,San Juan,PR
913,San Juan,PR
914,San Juan,PR
915,San Juan,PR
916,San Juan,PR
917,San Juan,PR
918,San Juan,PR
919,San Juan,PR
920,San Juan,PR
921,San Juan,PR
922,San Juan,PR
923,San Juan,PR
924,San Juan,PR
925,San Juan,PR
926,San Juan,PR
927,San Juan,PR
928,San Juan,PR
929,San Juan,PR
930,San Juan,PR
931,San Juan,PR
933,San Juan,PR
934,Fort Buchanan,PR
935,San Juan,PR
936,San Juan,PR
937,San Juan,PR
939,San Juan,PR
940,San Juan,PR
949,Toa Baja,PR
950,Toa Baja,PR
951,Toa Baja,PR
952,Sabana Seca,PR
953,Toa Alta,PR
954,Toa Alta,PR
955,San Juan,PR
956,Bayamon,PR
957,Bayamon,PR
958,Bayamon,PR
959,Bayamon,PR
960,Bayamon,PR
961,Bayamon,PR
962,Catano,PR
963,Catano,PR
965,Guaynabo,PR
966,Guaynabo,PR
968,Guaynabo,PR
969,Guaynabo,PR
970,Guaynabo,PR
971,Guaynabo,PR
975,San Juan,PR
976,Trujillo Alto,PR
977,Trujillo Alto,PR
978,Saint Just,PR
979,Carolina,PR
981,Carolina,PR
982,Carolina,PR
983,Carolina,PR
984,Carolina,PR
985,Carolina,PR
986,Carolina,PR
987,Carolina,PR
988,Carolina,PR
1001,Agawam,MA
1002,Amherst,MA
1003,Amherst,MA
1004,Amherst,MA
1005,Barre,MA
1007,Belchertown,MA
1008,Blandford,MA
1009,Bondsville,MA
1010,Brimfield,MA
1011,Chester,MA
1012,Chesterfield,MA
1013,Chicopee,MA
1014,Chicopee,MA
1020,Chicopee,MA
1021,Chicopee,MA
1022,Chicopee,MA
1026,Cummington,MA
1027,Easthampton,MA
1028,East Longmeadow,MA
1029,East Otis,MA
1030,Feeding Hills,MA
1031,Gilbertville,MA
1032,Goshen,MA
1033,Granby,MA
1034,Granville,MA
1035,Hadley,MA
1036,Hampden,MA
1037,Hardwick,MA
1038,Hatfield,MA
1039,Haydenville,MA
1040,Holyoke,MA
1041,Holyoke,MA
1050,Huntington,MA
1053,Leeds,MA
1054,Leverett,MA
1056,Ludlow,MA
1057,Monson,MA
1059,North Amherst,MA
1060,Northampton,MA
1061,Northampton,MA
1062,Florence,MA
1063,Northampton,MA
1066,North Hatfield,MA
1068,Oakham,MA
1069,Palmer,MA
1070,Plainfield,MA
1071,Russell,MA
1072,Shutesbury,MA
1073,Southampton,MA
1074,South Barre,MA
1075,South Hadley,MA
1077,Southwick,MA
1079,Thorndike,MA
1080,Three Rivers,MA
1081,Wales,MA
1082,Ware,MA
1083,Warren,MA
1084,West Chesterfield,MA
1085,Westfield,MA
1086,Westfield,MA
1088,West Hatfield,MA
1089,West Springfield,MA
1090,West Springfield,MA
1092,West Warren,MA
1093,Whately,MA
1094,Wheelwright,MA
1095,Wilbraham,MA
1096,Williamsburg,MA
1097,Woronoco,MA
1098,Worthington,MA
1101,Springfield,MA
1102,Springfield,MA
1103,Springfield,MA
1104,Springfield,MA
1105,Springfield,MA
1106,Longmeadow,MA
1107,Springfield,MA
1108,Springfield,MA
1109,Springfield,MA
1111,Springfield,MA
1115,Springfield,MA
1116,Longmeadow,MA
1118,Springfield,MA
1119,Springfield,MA
1128,Springfield,MA
1129,Springfield,MA
1133,Springfield,MA
1138,Springfield,MA
1139,Springfield,MA
1144,Springfield,MA
1151,Indian Orchard,MA
1152,Springfield,MA
1195,Springfield,MA
1199,Springfield,MA
1201,Pittsfield,MA
1202,Pittsfield,MA
1203,Pittsfield,MA
1220,Adams,MA
1222,Ashley Falls,MA
1223,Becket,MA
1224,Berkshire,MA
1225,Cheshire,MA
